Namespace(batch_size=10, dataset='S3DIS', dropout=0.5, emb_dims=1024, epochs=20, eval=False, exp_name='base_seg_6', k=20, lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=4096, scheduler='cos', seed=1, test_area=6, test_batch_size=10, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 0, loss: 1.498222, train acc: 0.754086, train avg acc: 0.412193, train iou: 0.326708
Test 0, loss: 1.492156, test acc: 0.746249, test avg acc: 0.500869, test iou: 0.411197
Train 1, loss: 1.366305, train acc: 0.816475, train avg acc: 0.519271, train iou: 0.426875
Test 1, loss: 1.428667, test acc: 0.771183, test avg acc: 0.525662, test iou: 0.428350
Train 2, loss: 1.329116, train acc: 0.835391, train avg acc: 0.566119, train iou: 0.472896
Test 2, loss: 1.390820, test acc: 0.800171, test avg acc: 0.626949, test iou: 0.508907
Train 3, loss: 1.305413, train acc: 0.848165, train avg acc: 0.601854, train iou: 0.508000
Test 3, loss: 1.437504, test acc: 0.768300, test avg acc: 0.528341, test iou: 0.433345
Train 4, loss: 1.289099, train acc: 0.857040, train avg acc: 0.631155, train iou: 0.538052
Test 4, loss: 1.437711, test acc: 0.779905, test avg acc: 0.617337, test iou: 0.500796
Train 5, loss: 1.274809, train acc: 0.864891, train avg acc: 0.655499, train iou: 0.562456
Test 5, loss: 1.393717, test acc: 0.802319, test avg acc: 0.687302, test iou: 0.546989
Train 6, loss: 1.262800, train acc: 0.871285, train avg acc: 0.676574, train iou: 0.583246
Test 6, loss: 1.352085, test acc: 0.819415, test avg acc: 0.673337, test iou: 0.551908
Train 7, loss: 1.252390, train acc: 0.877558, train avg acc: 0.692361, train iou: 0.600204
Test 7, loss: 1.374447, test acc: 0.821244, test avg acc: 0.673307, test iou: 0.556847
Train 8, loss: 1.240425, train acc: 0.884289, train avg acc: 0.710122, train iou: 0.619711
Test 8, loss: 1.344609, test acc: 0.826160, test avg acc: 0.690121, test iou: 0.584641
Train 9, loss: 1.229953, train acc: 0.890035, train avg acc: 0.729982, train iou: 0.640403
Test 9, loss: 1.340960, test acc: 0.833285, test avg acc: 0.739062, test iou: 0.599964
Train 10, loss: 1.218875, train acc: 0.896458, train avg acc: 0.746628, train iou: 0.659105
Test 10, loss: 1.321006, test acc: 0.836035, test avg acc: 0.764263, test iou: 0.593525
Train 11, loss: 1.209307, train acc: 0.901660, train avg acc: 0.761859, train iou: 0.675992
Test 11, loss: 1.312945, test acc: 0.848512, test avg acc: 0.792068, test iou: 0.631226
Train 12, loss: 1.196932, train acc: 0.908463, train avg acc: 0.782135, train iou: 0.698234
Test 12, loss: 1.300226, test acc: 0.851615, test avg acc: 0.756079, test iou: 0.629378
Train 13, loss: 1.186795, train acc: 0.914079, train avg acc: 0.799210, train iou: 0.716709
Test 13, loss: 1.287082, test acc: 0.852389, test avg acc: 0.760350, test iou: 0.632132
Train 14, loss: 1.174915, train acc: 0.920911, train avg acc: 0.819749, train iou: 0.741243
Test 14, loss: 1.280236, test acc: 0.861719, test avg acc: 0.783398, test iou: 0.659893
Train 15, loss: 1.164691, train acc: 0.925732, train avg acc: 0.830773, train iou: 0.755060
Test 15, loss: 1.262829, test acc: 0.864874, test avg acc: 0.770956, test iou: 0.652027
Train 16, loss: 1.154932, train acc: 0.931318, train avg acc: 0.847767, train iou: 0.774623
Test 16, loss: 1.250953, test acc: 0.875862, test avg acc: 0.800523, test iou: 0.684301
Train 17, loss: 1.146105, train acc: 0.935926, train avg acc: 0.859746, train iou: 0.789819
Test 17, loss: 1.241860, test acc: 0.877681, test avg acc: 0.787321, test iou: 0.682342
Train 18, loss: 1.140193, train acc: 0.939512, train avg acc: 0.868776, train iou: 0.801702
Test 18, loss: 1.240139, test acc: 0.880243, test avg acc: 0.795737, test iou: 0.686686
Train 19, loss: 1.136504, train acc: 0.941383, train avg acc: 0.874973, train iou: 0.808905
Test 19, loss: 1.235264, test acc: 0.881165, test avg acc: 0.799715, test iou: 0.691984
